,title,rating,name,num_ratings,num_reviews,num_followers,synopsis,genre,A Brief History of Time,4.2,Stephen Hawking,"3,82,736","11,056",11.3k,"In the ten years since its publication in 1988, Stephen Hawking's classic work has become a landmark volume in scientific writing, with more than nine million copies in forty languages sold worldwide. That edition was on the cutting edge of what was then known about the origins and nature of the universe. But the intervening years have seen extraordinary advances in the technology of observing both the micro- and the macrocosmic worlds. These observations have confirmed many of Professor Hawking's theoretical predictions in the first edition of his book, including the recent discoveries of the Cosmic Background Explorer satellite (COBE), which probed back in time to within 300,000 years of the universe's beginning and revealed wrinkles in the fabric of space-time that he had projected. Eager to bring to his original text the new knowledge revealed by these observations, as well as his own recent research, Professor Hawking has prepared a new introduction to the book, written an entirely new chapter on wormholes and time travel, and updated the chapters throughout.",science
10,Italy: The Beautiful Cookbook,4.35,Lorenza de'Medici,103,5.0,8 followers,Each title in this award-winning series offers an exquisite region-by-region taste tour filled with culinary specialties and surprises. Included in each large-form at volume are gorgeous food and landscape photographs.,cookbook,,,,,,,,
11,"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",3.9,Mollie Katzen,"50,553",469.0,108 followers,"Among the most influential cookbooks of our time, the Moosewood Cookbook is such a powerful symbol that the publishers were tempted not to tamper with it. But times have changed, and knowledge about the foods we eat and their nutritional value has increased. So, after many inquiries and requests, the author has revised many of her recipes to be lighter and healthier. Illustrated. (less)",cookbook,,,,,,,,
12,Jamie at Home: Cook Your Way to the Good Life,4.1,Jamie Oliver,"12,855",139.0,999 followers,Jamie at Home,cookbook,,,,,,,,
13,Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,3.9,Jeff Hertzberg,"26,264",719.0,40 followers,"For 30+ brand-new recipes and expanded Tips and Techniques', check out The New Artisan Bread in Five Minutes a Day, on sale now.

This is the classic that started it all Artisan Bread in Five Minutes a Day has now sold hundreds of thousands of copies. With more than half a million copies of their books in print, Jeff Hertzberg and Zoe Francois have proven that people want to bake their own bread, so long as they can do it easily and quickly.

Crusty baguettes, mouth-watering pizzas, hearty sandwich loaves, and even buttery pastries can easily become part of your own personal menu, Artisan Bread in Five Minutes a Day will teach you everything you need to know, opening the eyes of any potential baker."" (less)",cookbook,,,,,,,,
14,Bob's Red Mill Baking Book,4.07,John Ettinger,94,11.0,0 followers,"This invaluable baker's resource provides home bakers with delicious ways to use whole and other healthful grains and flours to suit their dietary, allergic, and basic baking needs. Including new and traditional recipes, and featuring a collection of recipes from prominent bakers and chefs, Bob's Red Mill Baking Book allows bakers to take full advantage of the healthful benefits of whole grains. Bob's Red Mill Natural Foods was founded in 1978 and has become a multimillion-dollar business with international distribution. Inspired by a commitment to whole grain nutrition, Bob and Charlee Moore started their business with a mission to support the health and well-being of people in their community. But the demand for healthy whole grains made their small northwest business grow nationwide. Bob's Red Mill Natural Foods offers a diverse line of all natural and organic flours, cereals, meal and mixes for pancakes, bread, and soups. The company's more than 300 products are available throughout the U.S. and Canada at all natural food and major grocery stores. Bob's Red Mill brand products may also be purchased by phone, mail order, or on the company's website. (less)",cookbook,,,,,,,,
15,Bob's Red Mill Cookbook: Whole Healthy Grains for Every Meal of the Day,4.16,Miriam Backes,32,3.0,0 followers,"If cooking healthier meals at home is your new resolution, look no further than Bob's Red Mill's extensive collection of high-quality grains, flours, and other mouth-watering products. The Bob's Red Mill Cookbook will help introduce new whole-grain ingredients into all of your daily meals, without a huge investment in pricey, difficult-to-locate, limited products that do more to take up space than change nutrition habits. Whole-wheat flours, brown rice, whole beans, and legumes have become prevalent in supermarkets everywhere, but among the hundreds of products milled at the Bob's Red Mill plant are also blue corn flour, quinoa, amaranth, teff, and all varieties of nuts and seeds, and they can be integrated seamlessly into any diet to delicious effect.

The unique, family-owned mill has been in the business of producing healthy whole-grain products for over 30 years, and they provide here more than 350 recipes for all sorts of everyday meals: morning food, snacks and sides, main courses, soups and stews, and sweets, with plenty of vegetarian and gluten-free dishes. This practical and comprehensive cookbook is an outstanding collection of reliable recipes that reflect the Bob's Red Mill product quality, product diversity, and dedication to healthful eating. Becoming a more inventive cook is a stepping stone to a healthier outlook, incorporating better ingredients for a better life. (less)",cookbook,,,,,,,,
16,Appetite for Reduction: 125 Fast and Filling Low-Fat Vegan Recipes,3.93,Isa Chandra Moskowitz,"7,808",191.0,980 followers,"This is not your mother's low-fat cookbook. There's no foolish tricks, no bizarre concoctions, no chemicals, no frozen meals…no fake anything! Appetite for Reduction means cooking with real food, for real life. (Skimpy portions need not apply.)

In Appetite for Reduction, bestselling author and vegan chef Isa Chandra Moskowitz has created 125 delectable, nutritionally-balanced recipes for the foods you crave—lasagna, tacos, barbecue, curries, stews, and much more--and it's all:
--Only 200 to 400 calories per serving
--Plant-based and packed with nutrients
--Low in saturated fat and sugar; high in fiber
--Drop-dead delicious

You'll also find lots of gluten-free and soy-free options, and best of all, dinner can be on the table in less than 30 minutes. So ditch those diet shakes. Skip that lemonade cleanse. And fight for your right to eat something satisfying! Now you can look better, feel better, and have more energy for health at any size. (less)",cookbook,,,,,,,,
17,Eating Rome: Living the Good Life in the Eternal City,4.09,Elizabeth Minchilli,265,48.0,114 followers,"Elizabeth Minchilli has been eating her way through Rome since she was 12 years old. Eating Rome, based on her popular blog Elizabeth Minchilli in Rome, is her homage to the city that feeds her, literally and figuratively. Her story is a personal, quirky and deliciously entertaining look at some of the city's monuments to food culture. Join her as she takes you on a stroll through her favorite open air markets; stop by the best gelato shops; order plates full of carbonara and finish the day with a brilliant red Negroni. Coffee, pizza, artichokes and grappa are starting points for mouth-watering stories about this ancient city. Illustrated with Minchilli's beautiful full-color photos and enriched with her favorite recipes for Roman classics like vignarola, carciofi alla romana and carbonara, Eating Rome is the book that you want if you are planning your first trip to Rome or if you have been to Rome a dozen times. And even if you just want to spend a few hours armchair traveling, Elizabeth Minchilli is the person you want by your side. (less)",cookbook,,,,,,,,
18,Harry Potter and the Sorcerer's Stone,4.47,J.K. Rowling,"8,739,776","137,696","219,271 followers","Harry Potter's life is miserable. His parents are dead and he's stuck with his heartless relatives, who force him to live in a tiny closet under the stairs. But his fortune changes when he receives a letter that tells him the truth about himself: he's a wizard. A mysterious visitor rescues him from his relatives and takes him to his new home, Hogwarts School of Witchcraft and Wizardry.

After a lifetime of bottling up his magical powers, Harry finally feels like a normal kid. But even within the Wizarding community, he is special. He is the boy who lived: the only person to have ever survived a killing curse inflicted by the evil Lord Voldemort, who launched a brutal takeover of the Wizarding world, only to vanish after failing to kill Harry.

Though Harry's first year at Hogwarts is the best of his life, not everything is perfect. There is a dangerous secret object hidden within the castle walls, and Harry believes it's his responsibility to prevent it from falling into evil hands. But doing so will bring him into contact with forces more terrifying than he ever could have imagined.

Full of sympathetic characters, wildly imaginative situations, and countless exciting details, the first installment in the series assembles an unforgettable magical world and sets the stage for many high-stakes adventures to come. (less)",,,,,,,,,
19,Harry Potter and the Chamber of Secrets,4.43,J.K. Rowling,"3,374,768","66,335","219,271 followers","Ever since Harry Potter had come home for the summer, the Dursleys had been so mean and hideous that all Harry wanted was to get back to the Hogwarts School for Witchcraft and Wizardry. But just as he’s packing his bags, Harry receives a warning from a strange impish creature who says that if Harry returns to Hogwarts, disaster will strike.

And strike it does. For in Harry’s second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor and a spirit who haunts the girls’ bathroom. But then the real trouble begins – someone is turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects… Harry Potter himself! (less)",,,,,,,,,
20,Harry Potter and the Prisoner of Azkaban,4.58,J.K. Rowling,"3,554,132","69,913","219,271 followers","During his third year at Hogwarts School for Witchcraft and Wizardry, Harry Potter must confront the devious and dangerous wizard responsible for his parents' deaths. (less)",,,,,,,,,
21,The Hobbit,4.28,J.R.R. Tolkien,"3,449,648","58,878","65,158 followers","In a hole in the ground there lived a hobbit. Not a nasty, dirty, wet hole, filled with the ends of worms and an oozy smell, nor yet a dry, bare, sandy hole with nothing in it to sit down on or to eat: it was a hobbit-hole, and that means comfort.
Written for J.R.R. Tolkien’s own children, The Hobbit met with instant critical acclaim when it was first published in 1937. Now recognized as a timeless classic, this introduction to the hobbit Bilbo Baggins, the wizard Gandalf, Gollum, and the spectacular world of Middle-earth recounts of the adventures of a reluctant hero, a powerful and dangerous ring, and the cruel dragon Smaug the Magnificent. The text in this 372-page paperback edition is based on that first published in Great Britain by Collins Modern Classics (1998), and includes a note on the text by Douglas A. Anderson (2001). (less)",,,,,,,,,
22,Harry Potter and the Goblet of Fire,4.57,J.K. Rowling,"3,136,807","58,014","219,271 followers","Harry Potter is midway through his training as a wizard and his coming of age. Harry wants to get away from the pernicious Dursleys and go to the International Quidditch Cup with Hermione, Ron, and the Weasleys. He wants to dream about Cho Chang, his crush (and maybe do more than dream). He wants to find out about the mysterious event that's supposed to take place at Hogwarts this year, an event involving two other rival schools of magic, and a competition that hasn't happened for hundreds of years. He wants to be a normal, fourteen-year-old wizard. But unfortunately for Harry Potter, he's not normal - even by wizarding standards.

And in his case, different can be deadly. (less)",,,,,,,,,
23,Harry Potter and the Order of the Phoenix,4.5,J.K. Rowling,"2,996,583","53,161","219,271 followers","There is a door at the end of a silent corridor. And it’s haunting Harry Potter’s dreams. Why else would he be waking in the middle of the night, screaming in terror?

Harry has a lot on his mind for this, his fifth year at Hogwarts: a Defense Against the Dark Arts teacher with a personality like poisoned honey; a big surprise on the Gryffindor Quidditch team; and the looming terror of the Ordinary Wizarding Level exams. But all these things pale next to the growing threat of He-Who-Must-Not-Be-Named - a threat that neither the magical government nor the authorities at Hogwarts can stop.

As the grasp of darkness tightens, Harry must discover the true depth and strength of his friends, the importance of boundless loyalty, and the shocking price of unbearable sacrifice.

His fate depends on them all. (less)",,,,,,,,,
24,Harry Potter and the Half-Blood Prince,4.58,J.K. Rowling,"2,900,832","48,681","219,271 followers","The war against Voldemort is not going well; even Muggle governments are noticing. Ron scans the obituary pages of the Daily Prophet, looking for familiar names. Dumbledore is absent from Hogwarts for long stretches of time, and the Order of the Phoenix has already suffered losses.

And yet . . .

As in all wars, life goes on. The Weasley twins expand their business. Sixth-year students learn to Apparate - and lose a few eyebrows in the process. Teenagers flirt and fight and fall in love. Classes are never straightforward, through Harry receives some extraordinary help from the mysterious Half-Blood Prince.

So it's the home front that takes center stage in the multilayered sixth installment of the story of Harry Potter. Here at Hogwarts, Harry will search for the full and complete story of the boy who became Lord Voldemort - and thereby find what may be his only vulnerability. (less)",,,,,,,,,
25,A Game of Thrones,4.44,George R.R. Martin,"2,266,212","58,284","102,448 followers","Here is the first volume in George R. R. Martin’s magnificent cycle of novels that includes A Clash of Kings and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R. R. Martin’s stunning series is destined to stand as one of the great achievements of imaginative fiction.

A GAME OF THRONES

Long ago, in a time forgotten, a preternatural event threw the seasons out of balance. In a land where summers can last decades and winters a lifetime, trouble is brewing. The cold is returning, and in the frozen wastes to the north of Winterfell, sinister and supernatural forces are massing beyond the kingdom’s protective Wall. At the center of the conflict lie the Starks of Winterfell, a family as harsh and unyielding as the land they were born to. Sweeping from a land of brutal cold to a distant summertime kingdom of epicurean plenty, here is a tale of lords and ladies, soldiers and sorcerers, assassins and bastards, who come together in a time of grim omens.

Here an enigmatic band of warriors bear swords of no human metal; a tribe of fierce wildlings carry men off into madness; a cruel young dragon prince barters his sister to win back his throne; and a determined woman undertakes the most treacherous of journeys. Amid plots and counterplots, tragedy and betrayal, victory and terror, the fate of the Starks, their allies, and their enemies hangs perilously in the balance, as each endeavors to win that deadliest of conflicts: the game of thrones.

source: georgerrmartin.com (less)",,,,,,,,,
26,The Fellowship of the Ring,4.38,J.R.R. Tolkien,"2,603,352","30,534","65,159 followers","One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkeness bind them

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, The Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit.

In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose. (less)",,,,,,,,,
27,A Clash of Kings,4.41,George R.R. Martin,"861,189","25,515","102,448 followers","A comet the color of blood and flame cuts across the sky. Two great leaders—Lord Eddard Stark and Robert Baratheon—who hold sway over an age of enforced peace are dead, victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns. Six factions struggle for control of a divided land and the Iron Throne of the Seven Kingdoms, preparing to stake their claims through tempest, turmoil, and war.

It is a tale in which brother plots against brother and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. Against a backdrop of incest and fratricide, alchemy and murder, victory may go to the men and women possessed of the coldest steel...and the coldest hearts. For when kings clash, the whole land trembles.

Here is the second volume in George R.R. Martin magnificent cycle of novels that includes A Game of Thrones and A Storm of Swords. As a whole, this series comprises a genuine masterpiece of modern fantasy, bringing together the best the genre has to offer. Magic, mystery, intrigue, romance, and adventure fill these pages and transport us to a world unlike any we have ever experienced. Already hailed as a classic, George R.R. Martin stunning series is destined to stand as one of the great achievements of imaginative fiction. (less)",,,,,,,,,
28,The Name of the Wind,4.52,Patrick Rothfuss,"848,333","48,609","227,622 followers","Told in Kvothe's own voice, this is the tale of the magically gifted young man who grows to be the most notorious wizard his world has ever seen.

The intimate narrative of his childhood in a troupe of traveling players, his years spent as a near-feral orphan in a crime-ridden city, his daringly brazen yet successful bid to enter a legendary school of magic, and his life as a fugitive after the murder of a king form a gripping coming-of-age story unrivaled in recent literature.

A high-action story written with a poet's hand, The Name of the Wind is a masterpiece that will transport readers into the body and mind of a wizard. (less)",,,,,,,,,
29,The Two Towers,4.46,J.R.R. Tolkien,"839,797","14,708","65,159 followers","Begin your journey into Middle-earth.

The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power.

The Two Towers is the second part of J.R.R. Tolkien’s epic adventure The Lord of the Rings.

One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

Frodo and his Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in a battle in the Mines of Moria. And Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape, the rest of the company was attacked by Orcs. Now they continue the journey alone down the great River Anduin—alone, that is, save for the mysterious creeping figure that follows wherever they go. (less)",,,,,,,,,
30,The Return of the King,4.55,J.R.R. Tolkien,"786,202","13,934","65,159 followers","Begin your journey into Middle-earth.

The inspiration for the upcoming original series on Prime Video, The Lord of the Rings: The Rings of Power.

The Return of the King is the third part of J.R.R. Tolkien’s epic adventure The Lord of the Rings.

One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

The Dark Lord has risen, and as he unleashes hordes of Orcs to conquer all Middle-earth, Frodo and Sam struggle deep into his realm in Mordor.

To defeat Sauron, the One Ring must be destroyed in the fires of Mount Doom. But the way is impossibly hard, and Frodo is weakening. The Ring corrupts all who bear it and Frodo’s time is running out.

Will Sam and Frodo succeed, or will the Dark Lord rule Middle-earth once more? (less)",,,,,,,,,
31,"The Lion, the Witch and the Wardrobe",4.23,C.S. Lewis,"2,500,202","27,553","38,368 followers","Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.

Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell. (less)",,,,,,,,,
32,A Storm of Swords,4.54,George R.R. Martin,"722,481","23,432","102,453 followers","an alternate cover for this ISBN can be found here

Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.

Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords... (less)",,,,,,,,,
